Expected (0.10, 0.10); Got: (0.10, 0.10)
Expected (0.10, 0.20); Got: (0.10, 0.20)
Expected (0.10, 0.30); Got: (0.10, 0.30)
Expected (0.10, 0.40); Got: (0.10, 0.40)
Expected (0.10, 0.50); Got: (0.10, 0.50)
Expected (0.10, 0.60); Got: (0.10, 0.60)
Expected (0.10, 0.70); Got: (0.10, 0.70)
Expected (0.10, 0.80); Got: (0.10, 0.80)
Expected (0.10, 0.90); Got: (0.10, 0.90)
Expected (0.20, 0.10); Got: (0.10, 0.20)
Expected (0.20, 0.20); Got: (0.00, 0.00)
Expected (0.20, 0.30); Got: (0.20, 0.30)
Expected (0.20, 0.40); Got: (0.20, 0.40)
Expected (0.20, 0.50); Got: (0.20, 0.35)
Expected (0.20, 0.60); Got: (0.20, 0.25)
Expected (0.20, 0.70); Got: (0.20, 0.25)
Expected (0.20, 0.80); Got: (0.20, 0.80)
Expected (0.20, 0.90); Got: (0.20, 0.90)
Expected (0.30, 0.10); Got: (0.10, 0.30)
Expected (0.30, 0.20); Got: (0.30, 0.30)
Expected (0.30, 0.30); Got: (0.30, 0.30)
Expected (0.30, 0.40); Got: (0.30, 0.40)
Expected (0.30, 0.50); Got: (0.30, 0.50)
Expected (0.30, 0.60); Got: (0.30, 0.35)
Expected (0.30, 0.70); Got: (0.30, 0.35)
Expected (0.30, 0.80); Got: (0.30, 0.80)
Expected (0.30, 0.90); Got: (0.30, 0.90)
Expected (0.40, 0.10); Got: (0.10, 0.40)
Expected (0.40, 0.20); Got: (0.20, 0.40)
Expected (0.40, 0.30); Got: (0.40, 0.40)
Expected (0.40, 0.40); Got: (0.40, 0.40)
Expected (0.40, 0.50); Got: (0.40, 0.40)
Expected (0.40, 0.60); Got: (0.40, 0.40)
Expected (0.40, 0.70); Got: (0.40, 0.70)
Expected (0.40, 0.80); Got: (0.40, 0.45)
Expected (0.40, 0.90); Got: (0.40, 0.90)
Expected (0.50, 0.10); Got: (0.10, 0.50)
Expected (0.50, 0.20); Got: (0.20, 0.50)
Expected (0.50, 0.30); Got: (0.50, 0.50)
Expected (0.50, 0.40); Got: (0.40, 0.50)
Expected (0.50, 0.50); Got: (0.00, 0.00)
Expected (0.50, 0.60); Got: (0.50, 0.50)
Expected (0.50, 0.70); Got: (0.50, 0.70)
Expected (0.50, 0.80); Got: (0.50, 0.80)
Expected (0.50, 0.90); Got: (0.50, 0.60)
Expected (0.60, 0.10); Got: (0.10, 0.60)
Expected (0.60, 0.20); Got: (0.20, 0.60)
Expected (0.60, 0.30); Got: (0.30, 0.55)
Expected (0.60, 0.40); Got: (0.40, 0.60)
Expected (0.60, 0.50); Got: (0.60, 0.60)
Expected (0.60, 0.60); Got: (0.60, 0.60)
Expected (0.60, 0.70); Got: (0.60, 0.70)
Expected (0.60, 0.80); Got: (0.60, 0.80)
Expected (0.60, 0.90); Got: (0.60, 0.90)
Expected (0.70, 0.10); Got: (0.10, 0.65)
Expected (0.70, 0.20); Got: (0.20, 0.70)
Expected (0.70, 0.30); Got: (0.30, 0.65)
Expected (0.70, 0.40); Got: (0.40, 0.70)
Expected (0.70, 0.50); Got: (0.50, 0.70)
Expected (0.70, 0.60); Got: (0.70, 0.70)
Expected (0.70, 0.70); Got: (0.70, 0.70)
Expected (0.70, 0.80); Got: (0.70, 0.70)
Expected (0.70, 0.90); Got: (0.70, 0.70)
Expected (0.80, 0.10); Got: (0.10, 0.80)
Expected (0.80, 0.20); Got: (0.20, 0.80)
Expected (0.80, 0.30); Got: (0.30, 0.70)
Expected (0.80, 0.40); Got: (0.40, 0.80)
Expected (0.80, 0.50); Got: (0.50, 0.80)
Expected (0.80, 0.60); Got: (0.60, 0.80)
Expected (0.80, 0.70); Got: (0.70, 0.80)
Expected (0.80, 0.80); Got: (0.00, 0.00)
Expected (0.80, 0.90); Got: (0.80, 0.80)
Expected (0.90, 0.10); Got: (0.10, 0.90)
Expected (0.90, 0.20); Got: (0.20, 0.90)
Expected (0.90, 0.30); Got: (0.30, 0.90)
Expected (0.90, 0.40); Got: (0.40, 0.90)
Expected (0.90, 0.50); Got: (0.50, 0.90)
Expected (0.90, 0.60); Got: (0.60, 0.85)
Expected (0.90, 0.70); Got: (0.70, 0.90)
Expected (0.90, 0.80); Got: (0.80, 0.90)
Expected (0.90, 0.90); Got: (0.90, 0.90)
Succeeded in  76 out of 81
